nose_shoulder_angle,left_elbow_angle,right_elbow_angle,right_knee_angle,left_knee_angle,shoulder_angle,right_ankle_angle,right_hip_angle,left_ankle_angle,left_hip_angle
4.811209147,142.6301696,160.0966318,118.836147,157.9343209,167.14778,80.101659,14.36121124,96.89412499,4.204591591
4.573312241,150.0550333,158.0720332,125.0726451,155.482758,167.684311,86.9150933,9.709820129,90.98443282,3.623341316
3.377624793,150.2115434,155.5439286,133.3078117,161.048143,166.1888885,95.81237734,5.102137313,85.58235646,6.131008472
0.691560917,141.068739,155.8345859,158.4293947,170.7713591,148.1369475,121.7281878,1.866095567,75.89339134,15.15745329
1.622838884,135.6677266,157.1990747,167.9418649,173.6302223,140.0768216,126.7904335,7.409756535,72.51394429,17.34504975
7.089833846,129.9262759,156.298625,170.3301907,173.9065556,118.7765601,128.2828656,8.255417568,70.63815488,16.81575665
9.28959526,128.2401333,155.4907457,167.8232049,172.5306912,139.1586453,125.1769498,6.928476909,68.28834326,15.05718242
8.119023968,125.2575564,154.5032384,156.9419156,160.5459836,142.077228,117.4323912,2.606981077,71.02407936,4.529841865
6.423056803,130.1042259,152.9698584,154.7519126,155.3785252,127.11656,114.5428493,2.136536999,79.88427644,0.269475979
4.444251715,133.7581766,148.1075701,152.2816684,142.2573593,102.1120444,110.3355345,1.83560582,93.51186024,11.31411033
2.276116883,134.7216618,152.6041672,153.0655895,126.2263247,117.5004114,105.4827614,3.70296785,106.2036251,24.82799552
1.818472323,157.6620845,156.6411548,145.7908241,108.767452,166.1267286,91.17774876,2.605186253,128.9672862,39.70963065
5.62078644,157.896515,159.3085686,140.5070771,112.4992202,176.5449184,82.82661537,0.18702905,98.03967226,30.71561721
7.884883911,151.8230664,159.047949,141.0683133,127.9981118,177.9077848,78.99407579,0.789609009,84.60303941,10.57023337
8.117444801,167.8006214,158.298029,148.7391654,140.8704515,177.5389866,81.59484403,4.174075528,88.61636183,3.238240588
8.182994946,162.5875836,151.2696877,161.2624448,170.5890952,176.1683795,80.14246124,13.19048861,110.9482022,12.06167802
6.947216275,140.4725638,149.4987078,165.607767,169.4346041,172.519315,77.33154367,13.77371137,132.1729817,19.45020594
4.457924355,140.3227273,149.7038572,165.5994048,176.104177,163.7735412,73.9596844,13.49758179,134.3737106,14.69474031
2.625881825,165.753924,151.8579267,160.9244873,175.0552926,158.9872827,66.76407119,10.98773682,136.2419945,14.36511364
2.22180205,165.917425,151.6907058,160.0549683,178.5695916,157.1837061,62.26091723,8.159096155,131.7332642,13.62211936
2.789520461,165.9522081,149.0827102,157.8895573,172.848357,158.257373,62.2390772,5.587458672,126.9282468,9.068176249
4.386123989,165.7979194,147.3162961,175.7417356,162.0581645,160.3989024,112.9595628,13.52354214,114.0338678,24.4472139
6.301910406,161.2871762,146.0677818,140.89959,168.0601096,162.6843373,96.96112713,13.64389484,112.1980792,11.2633994
4.832531813,158.2937255,153.5424228,113.489105,158.922391,160.8415221,71.62218445,26.75084333,97.36854341,12.94438225
4.816215444,163.6127962,159.7811707,114.5325651,140.204918,161.8092798,73.28584234,23.37264969,84.11210619,0.368787042
4.786331536,162.0215266,161.2792452,110.0657586,144.4110261,165.2873543,83.19423863,29.22991615,89.53012129,0.36624664
3.271934377,161.4891339,167.127688,118.3799982,141.9630329,164.8936361,100.5373759,26.23032175,87.43966543,1.021680063
1.067658633,158.1449222,154.5103843,116.7852893,157.2945202,160.656429,81.98195413,14.78895121,91.19691074,5.544660821
0.387361136,158.6534593,148.1156587,117.4812001,158.6521824,154.1312813,86.10496361,11.87207596,91.45837578,5.023810169
1.997726618,161.8866542,145.6843418,129.2819106,165.5410618,137.2881535,95.89823112,5.904148214,85.79870965,9.433914839
3.848314423,148.6923753,147.2159679,147.3301515,170.2794806,107.2599805,110.9699557,0.460333219,79.43400528,14.82976836
3.564375302,135.965068,153.8843344,172.0440498,171.2031735,112.1121133,128.1104639,9.640361009,71.54563013,15.47725248
6.182018894,129.0838947,155.7277559,172.3701545,172.179574,109.5962484,129.1512711,9.772988535,69.4779116,15.2252274
10.27380915,125.0895622,154.8705403,162.6042094,169.8068236,138.9401311,125.4758845,3.65625573,67.37004414,13.21082231
8.745798205,125.5988165,155.4457732,151.1136429,166.1163728,136.2243624,114.3592022,0.012601137,65.14919797,10.01536179
7.171028947,131.3798241,151.2126729,143.2266451,164.4819378,138.6932641,104.5933406,1.75827825,91.76978129,3.761608004
4.460146728,135.0164135,158.0465777,152.5119763,142.2594644,125.5649354,108.5697607,3.023279774,103.5947163,12.57327987
1.919730147,137.4860733,158.5456429,166.4395831,113.275524,114.8860984,108.4842836,12.31406105,95.7634702,32.59375677
